No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
168,,Phenolphthalein,酚酞,201-004-7,1977/9/8,主要用作实验室试剂（pH指示剂溶液）; 次要用途是用于药物制剂和某些特殊应用（如pH值试纸，隐形墨水）
169,,"Pitch, coal tar, high temp. ",煤沥青，高温 ,266-028-2,65996-93-2,"工业用电极、耐火材料和煤球的结合剂; 作防腐蚀保护剂用于工业用油漆和涂料; 用于生产活性碳和碳纤维; 用于防水涂料/屋面粘合剂
产品可能包含此物質：粘土飞靶、医药制剂、防水涂料/屋面和重型防腐蚀产品的粘合剂"
170,36,Potassium chromate,铬酸钾,232-140-5,7789-00-6,用于金属处理和涂层的腐蚀抑制剂; 用于生产试剂和化学品; 用于生产纺织品; 用作陶瓷着色剂; 用于制造颜料/油墨; 用于实验室（分析试剂）
171,38,Potassium dichromate,重铬酸钾,231-906-6,7778-50-9,用于制造镀铬金属; 作为腐蚀抑制剂用于处理金属和金属涂层; 用于生产试剂和化学品; 用于实验室（分析试剂）; 用于清洗实验室玻璃器皿; 纺织媒染剂; 用作光刻技术的氧化剂;用于木材防腐剂
172,,Potassium hydroxyoctaoxodizincatedichromate,氢氧化铬酸锌钾,234-329-8,11103-86-9,主要用于航空/航天应用、钢铁、铝卷材涂料和车辆的涂料
173,,Pyrene,芘,204-927-3,129-00-0,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中
174,116,"Pyrochlore, antimony lead yellow",颜料黄41,232-382-1,8012-00-8,用于烧绿石的生产;作为着色剂于陶瓷/玻璃制品装饰
175,161,"Reaction mass of 2-ethylhexyl 10-ethyl-4,4-dioctyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate and 2-ethylhexyl 10-ethyl-4-[[2-[(2-ethylhexyl)oxy]-2-oxoethyl]thio]-4-octyl-7-oxo-8-oxa-3,5-dithia-4-stannatetradecanoate (reaction mass of DOTE and MOTE)",二正辛基-双（巯乙酸2-乙基己酯）锡（DOTE）和三（2-乙基己基巯基乙酸）辛锡（MOTE）的反应产物,-,-,PVC热稳定剂
176,,"Reaction products of 1,3,4-thiadiazolidine-2,5-dithione, formaldehyde and 4-heptylphenol, branched and linear (RP-HP) [with ≥0.1% w/w 4-heptylphenol, branched and linear]","1,3,4-噻二唑烷-2,5-二硫酮，甲醛和4-庚基苯酚的支链和直链（RP-HP）的反应产物[4-庚基苯酚，支链和直链含量≥0.1％w / w]", -, -,用于润滑添加剂，润滑油的配制。
177,117,"Silicic acid (H2Si2O5), barium salt (1:1), lead-doped
[with lead (Pb) content above the applicable generic concentration limit for 'toxicity for reproduction' Repr. 1A (CLP) or category 1 (DSD); the substance is a member of the group entry of lead compounds, with index number 082-001-00-6 in Regulation (EC) No 1272/2008]
",掺有铅的硅酸钡铅含量超出CLP指令表述的致生殖毒性1A、DSD指令致生殖毒性1类的通用限制浓度限值；(EC) No 1272/2008 下指引号为082-001-00-6的一组含铅化合物）,272-271-5,68784-75-8,用于镀膜玻璃灯泡
178,118,"Silicic acid, lead salt",硅酸铅,234-363-3,11120-22-2,用于生产铅晶
179,35,Sodium chromate,铬酸钠,231-889-5,7775/11/3,用于实验室（分析剂）; 用于制造其他铬化合物; 用于皮革、纺织品、金属和塑料
180,10,Sodium dichromate,重铬酸钠,234-190-3,"7789-12-0, 10588-01-9",用作染料、媒染剂; 用于制造铬颜料
181,154,"Sodium perborate; perboric acid, sodium salt","过硼酸钠;过硼酸,钠盐",239-172-9; 234-390-0, - ,用作洗衣清洁剂和机器洗碗产品中的漂白剂
182,155,Sodium peroxometaborate,过硼酸钠,231-556-4,7632/4/4,用作洗衣清洁剂和机器洗碗产品中的漂白剂
183,48,Strontium chromate,铬酸锶,232-142-6,7789/6/2,主要作为涂料的缓蚀剂，用在航空/航天、钢和铝的卷材涂料行业和汽车涂料
184,119,"Sulfurous acid, lead salt, dibasic",亚硫酸铅（II）,263-467-1,62229-08-7,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件)
185,,Terphenyl hydrogenated,氢化三联苯,262-967-7,61788-32-7 ,"用作塑胶应用中的添加剂
用于涂层/油墨，胶黏剂和密封剂的配制。"
186,34,"Tetraboron disodium heptaoxide, hydrate",水合硼酸钠,235-541-3,12267-73-1,用于多种应用: 例如，洗涤剂、清洁剂、个人护理产品、工业流体、冶金、粘合剂、阻燃剂、杀生剂、化肥等;用作生产玻璃的中间体; 用于皮革鞣制
187,120,Tetraethyllead,四乙基铅,201-075-4,78-00-2,用作汽油的抗爆添加剂; 用于制造其他金属烷基，如乙基汞化合物和化学中间体(用于混合烷基作汽油添加剂)
188,121,Tetralead trioxide sulphate,三盐基硫酸铅,235-380-9,12202-17-4,用于车用铅基电池; 用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件)
189,,Trichloroethylene,三氯乙烯 ,201-167-4,1979/1/6,用于清洗和脱脂金属部件; 用于粘合剂的溶剂; 用作制造氯化有机​​化合物的中间体; 用来作为在皮革制备和织物整理的溶剂
190,,Tricosafluorododecanoic acid,全氟十二烷酸,206-203-2,307-55-1,用于生产含氟聚合物; 用作服装、皮革、食品保鲜膜、地毯，家具的防水处理剂; 还用于涂料、油漆、造纸和灭火泡沫
191,5,Triethyl arsenate,三乙基砷酸酯,427-700-2,15606-95-8,用于在生产半导体的中间体。
192,103,Trilead bis(carbonate)dihydroxide,碱式碳酸铅,215-290-6,1319-46-6,用于过氧化物的固化剂 （改进聚乙烯电缆的绝缘性）；用作PVC热稳定剂，用作尼龙增强渔网PVC纤维的成分；于各种漆颜料如外墙涂料颜料、陶瓷釉料、珠光颜料、感温油墨的变色元件、在虹彩塑料片材中的红色反射颜料、润滑脂组分、紫外光反射涂料的成分（以增加太阳能反射率）。它也被用在纸。它也可以用于冷火药的稳定剂和制造其他非金属矿物制品，如石膏，水泥
193,71,Trilead diarsenate,砷酸铅,222-979-5,3687-31-8,存在于复杂的原料，用于制造铜、铅和一系列贵金属，; 在冶金细化过程，原料中的砷酸铅转化为砷酸钙和三氧化二砷。而大多数的钙砷酸似乎作为废物处理
194,122,Trilead dioxide phosphonate,磷酸氧化铅,235-252-2,12141-20-7,用于电线、电缆、外部结构、水管、百叶窗、保护管、和在电缆和煤气管型材的塑料当中; 用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件) 
195,,Tris(2-chloroethyl)phosphate,三(2-氯乙基)磷酸酯,204-118-5,115-96-8,阻燃剂和增塑剂。应用包括: 塑料制品、粘合剂、涂料、阻燃剂、灭火剂、家具和绝缘材料
196,,Trixylyl phosphate,磷酸二甲酚酯,246-677-8,25155-23-1,"用于纺织品, 塑料的阻燃剂和功能流体(如润滑剂，金属加工液)"
197,28,"Zirconia Aluminosilicate Refractory Ceramic Fibres
 
are fibres covered by index number 650-017-00-8 in Annex VI, part 3, table 3.1 of Regulation (EC) No 1272/2008 of the European Parliament and of the Council of 16 December 2008 on classification, labelling and packaging of substances and mixtures, and fulfil the three following conditions:
 
 
a) oxides of aluminium, silicon and zirconium are the main components  present (in the fibres) within variable concentration ranges 
 
b) fibres have a length weighted geometric mean diameter less two standard geometric errors of 6 or less micrometres (µm).
 
c) alkaline oxide and alkali earth oxide (Na2O+K2O+CaO+MgO+BaO) content less or equal to 18%  by weight",氧化锆硅酸铝耐火陶瓷纤维,-,-,用于高温绝缘的耐火材料，大部分用于工业应用（如工业炉和设备，汽车制造，航天航空设备的绝缘），用于建筑和工业设备的防火
