No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
81,156,Cadmium fluoride,氟化镉,232-222-0,7790-79-6,用于研究的化学品; 用于发光屏幕; 用于制造玻璃; 电动刷;控制核反应堆; 用作高温干膜的润滑剂; 光学应用;用作激光晶体的原材料; 以前用作铝及其合金焊接助熔剂。
82,182,Cadmium hydroxide,氢氧化镉,244-168-5,21041-95-2,"用于实验室化学试剂；
用于生产化学品和电子电气和光学设备。
用于电池电极；
用于耐腐蚀和耐摩擦的金属涂层。
"
83,180,Cadmium nitrate,硝酸镉,233-710-6,"10022-68-1
10325-94-7","用于实验室化学试剂和含镉混合物的配制；
用于玻璃，釉和陶瓷产品的生产；
用于塑胶，陶瓷，玻璃，橡胶，纸和油墨的颜料；
用作 PVC 稳定剂。"
84,140,Cadmium oxide,氧化镉,215-146-2,1306-19-0,作为镍镉电池的电极; 用于金属涂层、合金、玻璃、陶瓷玻璃、耐热瓷漆、耐热性聚合物(如聚四氟乙烯)、生产聚合物、塑料制品、催化剂、实验室试剂
85,157,Cadmium sulphate,硫酸镉,233-331-6,"10124-36-4, 31119-53-6",作为中间体用于生产无机镉化合物和用作实验室试剂; 用作金属表面涂层的原料和用于恢复铅酸电池; 其他用途包括用作电镀的电解质，荧光粉，杀线虫剂，航空应用中的干膜润滑剂; 皮革染色剂
86,145,Cadmium sulphide,硫化镉,215-147-8,1306-23-6,"用作塑料,玻璃和陶瓷中作為的颜料、也可用于着色合成纺织品玻璃添加剂和光电子应用材料（例如，太阳能电池)"
87,61,Calcium arsenate,砷酸钙,231-904-5,7778-44-1,存在于复杂的原料当中（其本身是冶金工艺的副产品）; 它们主要用于铜和铅的精炼; 该物质被用于从熔融金属中沉淀镍和提取三氧化二砷。然而，大部分的物质似乎是作为废弃物被处理
88,45,Chromium trioxide,三氧化铬,215-607-8,1333-82-0,主要用于金属表面处理，如电镀（如硬铬和装饰性电镀），转化膜和增亮; 它也可以用作水性木材防腐剂的固定剂; 次要用途是制造颜料、涂料、催化剂、洗涤剂，也可用作氧化剂
89,,Chrysene,䓛,205-923-4,"218-01-9
1719-03-5","此物质通常不是有意生产，而是作为其它物质的成分或杂质存在。
多环芳烃可作为杂质存在于塑胶，颜料，涂料和胶黏剂中。
"
90,9,Cobalt dichloride,氯化钴,231-589-4,7646-79-9,用于硅胶指示剂、 回收废铁、 隐形油墨、涂料、油漆干燥剂、清漆、印刷油墨、轮胎添加剂
91,41,Cobalt(II) carbonate,碳酸钴,208-169-4,513-79-1,主要用于生产催化剂; 次要用途包括生产其他化学物质(如颜料)和作为底釉熔块的粘合剂
92,42,Cobalt(II) diacetate,醋酸钴,200-755-8,71-48-7,主要用作生产催化剂或作为催化剂; 次要用途包括用于生产其他化学物质(如颜料)、合金表面处理、染料
93,40,Cobalt(II) dinitrate,硝酸钴,233-402-1,10141-05-6,主要用于制造催化剂和颜料，也可用于表面处理和电池 
94,39,Cobalt(II) sulphate,硫酸钴,233-334-2,10124-43-3,用于生产化学品、颜料、催化剂和干燥剂，防腐、脱色（玻璃，陶瓷)
95,,"Cyclohexane-1,2-dicarboxylic anhydride [1]
cis-cyclohexane-1,2-dicarboxylic anhydride [2]
trans-cyclohexane-1,2-dicarboxylic anhydride [3]
[The individual cis- [2] and trans- [3] isomer substances and all possible combinations of the cis- and trans-isomers [1] are covered
by this entry].
","六氢邻苯二甲酸酐， c六氢-1,3-异苯并呋喃二酮 ，反-1,2-环己烷二羧酸酐","201-604-9, 
236-086-3, 
238-009-9","85-42-7, 
13149-00-3, 
14166-21-3",用作环氧树脂、环氧树脂胶、油漆喷漆、清漆、粘合剂、结合剂、粘度调节剂和指甲漆的硬化剂; 制造的聚酯、醇酸树脂和增塑剂; 用作热塑性聚合物的链交联剂; 其他用途为用作驱虫剂，防锈剂，工业用化学合成的中间体
96,,Decamethylcyclopentasiloxane (D5),十甲基环五硅氧烷 (D5),208-764-9,541-02-6,"用作生产硅酮聚合物的原料；
用于化妆品和个人护理产品，抛光剂和蜡，清洁洗涤产品，纺织品处理产品和染料中。"
97,13,Diarsenic pentaoxide,五氧化二砷,215-116-9,1303-28-2,用于木材防腐剂
98,14,Diarsenic trioxide,三氧化二砷,215-481-4,1327-53-3,用于制造玻璃、搪瓷和水晶玻璃; 用作半导体砷化物
99,,"Diazene-1,2-dicarboxamide (C,C'-azodi(formamide))",偶氮二甲酰胺,204-650-8,123-77-3,用作橡胶和塑料的发泡剂，如EVA、热塑性塑料、泡沫、供消费者使用的空气清新剂、合成化学品; 用作催化剂、绝缘材料、结构材料、水泥填料、添加剂;
100,74,Diboron trioxide,三氧化二硼,215-125-8,1303-86-2,用于多种应用，例如，用于玻璃和玻璃纤维、玻璃料、陶瓷、阻燃剂、催化剂、工业流体、冶金、核、电气设备、粘合剂、油墨/涂料、胶片显影溶液、洗涤剂和清洁剂、化学试剂、杀生剂和杀虫剂;用作生产玻璃的中间体
101,,Dibutyl phthalate (DBP),邻苯二甲酸二丁酯,201-557-4,84-74-2,PVC 和合成皮革的增塑剂; 胶浆印花和植绒印花
102,101,Dibutyltin dichloride (DBTC),二丁基二氯化锡,211-670-0,683-18-1,用作电子产品和电缆的绝缘体、用于涂层玻璃、橡胶添加剂、聚氯乙烯塑料(PVC)稳定剂、生产聚氨酯和硅胶的催化劑、食品包装材料（玻璃纸包裹）的; 也可用于在纺织品处理。
103,62,Dichromium tris(chromate),铬酸铬,246-356-2,24613-89-6,主要应用于航空/航天，钢铁和铝涂层行业的金属表面处理
104,,Dicyclohexyl phthalate (DCHP) ,邻苯二甲酸二环己酯 (DCHP),201-545-9,84-61-7,"用于生产塑料溶胶（密封剂和纺织品印刷）；
用于生产PVC,橡胶及塑料混合物（用作辅助增塑剂）；
作为阻遏剂和分散剂用于配制有机过氧化物。"
105,166,Diethyl sulphate,硫酸二乙酯,200-589-6,64-67-5,用于染料和颜料; 用作无碳复写纸的染料集剂; 用作纺织品的整理剂; 用作合成酚类，胺类和硫醇的化学中间体（乙基化剂）; 作为在乙烯的硫酸化的促进剂; 用于磺化过程
106,,Dihexyl phthalate,邻苯二甲酸二己酯,201-559-5,84-75-3,PVC增塑剂
107,,Diisobutyl phthalate ,邻苯二甲酸二异丁酯,201-553-2,84-69-5,增塑剂; 有时候可替代邻苯二甲酸二丁酯（DBP）; 可能存在于：塑料、涂料、油漆、清漆、粘合剂、结合剂、软化剂、​​粘度调节剂、点胶和印刷​​油墨
108,,Diisopentylphthalate ,邻苯二甲酸二异戊酯,210-088-4,605-50-5,增塑剂; 用于制造推进剂和炸药
109,167,Dimethyl sulphate,硫酸二甲酯,201-058-1,77-78-1,用作香水生产的助剂; 用于聚氨酯类胶黏剂; 用作染料中芳香胺的生产中的助剂
110,,"Dinoseb (6-sec-butyl-2,4-dinitrophenol)",地乐酚,201-861-7,88-85-7,作中间体合成化学物质。以前用作除草剂和杀虫剂
111,106,Dioxobis(stearato)trilead,双(十八酸基)二氧代三铅,235-702-8,12578-12-0,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件)
112,,Dipentyl phthalate (DPP),邻苯二甲酸二戊酯,205-017-9,131-18-0,PVC增塑剂
113,,"Disodium 3,3'-[[1,1'-biphenyl]-4,4'-diylbis(azo)]bis(4-aminonaphthalene-1-sulphonate)(C.I. Direct Red 28)",直接红28,209-358-4,573-58-0,用作纺织品，丝绸，皮革，塑料，纸张当中的染料和pH指示剂
114,,"Disodium 4-amino-3-[[4'-[(2,4-diaminophenyl)azo][1,1'-biphenyl]-4-yl]azo] -5-hydroxy-6-(phenylazo)naphthalene-2,7-disulphonate (C.I. Direct Black 38)",直接黑38,217-710-3,1937-37-7,用作纺织品，丝绸，皮革，塑料，木材，纸张当中的染料和生产水性墨水。
115,191,Disodium octaborate,氧化硼钠,234-541-0,12008-41-2,"用于微量营养素化肥和建筑材料中；
用于熔块的生产；
用于涂料和涂层，纤维素绝缘材料和水泥的使用当中"
116,33,"Disodium tetraborate, anhydrous",无水四硼酸钠,215-540-4,"1303-96-4, 1330-43-4, 12179-04-3",包括多种应用: 例如洗涤剂、清洁剂、个人护理产品、工业流体、冶金、粘合剂、阻燃剂、杀生剂、化肥等;用作生产玻璃的中间体; 用于皮革鞣制
117,,Dodecamethylcyclohexasiloxane (D6),十二甲基环六硅氧烷 (D6),208-762-8,540-97-6,"作为单体用于聚硅氧烷聚合物和树脂的生产中；
用于化妆品，家居产品：清洁洗涤产品，抛光剂和蜡。"
118,,Ethylenediamine (EDA),乙二胺,203-468-6,107-15-3,作为单体用于环氧树脂，PU，胶黏剂和其它聚合物
119,107,"Fatty acids, C16-18, lead salts",C16-18-脂肪酸铅盐,292-966-7,91031-62-8,用于PVC加工; 用于铅稳定剂的塑料材料(作为建筑的内部结构组件)
120,,Fluoranthene,荧蒽,205-912-4,206-44-0 ,此物质通常不是有意生产，可作为杂质存在于塑胶，橡胶和涂层中
121,,"Formaldehyde, oligomeric reaction products with aniline (technical MDA)",甲醛与苯胺的共聚物,500-036-1,25214-70-4,主要用于制造其他物质; 次要用途是作为核电站中的离子交换树脂; 作为环氧树脂的硬化剂，例如用于生产辊、管、模具
122,,Formamide,甲酰胺,200-842-0,1975/12/7,主要用作制造农用化学品、医药和工业化学品的中间体;  次要用途为溶剂、作实验室试剂用于质量控制(在法医实验室、医院、制药公司、食品和饮料制造商和研究实验室);  该物质似乎也可以用作增塑剂
123,,Furan,呋喃,203-727-3,110-00-9,主要用作合成四氢呋喃和生产其他有机化合物的中间体; 用于农业化学品、杀虫剂、稳定剂、医药品 
124,,Henicosafluoroundecanoic acid,全氟十一烷酸 ,218-165-4,2058-94-8,用于含氟聚合物的生产; 用作服装、皮革、食品保鲜膜和地毯，家具中的防水处理剂; 用于涂料、油漆、造纸和灭火泡沫
