"工作表导出位置: C:\Users\Admin\Documents\Agilent\ICP Expert\My Results\20181123-1 ICP-Heavy Metal-Fe-FACT.esws"
""
"标签","类型","日期时间","元素","元素标签","标记","未计算的数据","浓度","单位","强度","浓度 SD","浓度 %RSD","强度 SD","强度 %RSD","重量","体积","稀释系数","内标","LIMS ID","自定义","自定义参比","采样日期时间","采样地点","说明","重复项","浓度 重复项 1","浓度 重复项 2","浓度 重复项 3","强度 重复项 1","强度 重复项 2","强度 重复项 3","标记 重复项 1","标记 重复项 2","标记 重复项 3"
"STD BLK","空白","2018/11/23 13:10:15","Cu 327.395","Cu","","0.00000","0.00000","ppm","214.95916","-","-","16.28680","7.58","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","228.83129","197.02615","219.02003","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cu 213.598","Cu(ref)","","0.00000","0.00000","ppm","30.73501","-","-","9.71297","31.60","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","29.50573","41.00411","21.69520","","",""
"STD BLK","空白","2018/11/23 13:10:15","Cu 324.754","Cu(ref)","","0.00000","0.00000","ppm","946.24684","-","-","21.10251","2.23","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","933.60649","970.60814","934.52590","","",""
"STD BLK","空白","2018/11/23 13:10:15","Fe 238.204","Fe","","0.00000","0.00000","ppm","839.10703","-","-","15.83286","1.89","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","846.32205","850.04727","820.95176","","",""
"STD BLK","空白","2018/11/23 13:10:15","Hg 184.887","Hg","","0.00000","0.00000","ppm","13.50946","-","-","11.48775","85.03","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","0.93216","23.44874","16.14749","","",""
"STD BLK","空白","2018/11/23 13:10:15","Hg 194.164","Hg(ref)","","0.00000","0.00000","ppm","25.36039","-","-","5.88061","23.19","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","31.27244","25.29699","19.51173","","",""
"STD BLK","空白","2018/11/23 13:10:15","Hg 253.652","Hg(ref)","","0.00000","0.00000","ppm","22.76358","-","-","12.18695","53.54","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","36.62302","17.94540","13.72232","","",""
"STD BLK","空白","2018/11/23 13:10:15","Mn 257.610","Mn","","0.00000","0.00000","ppm","150.39118","-","-","11.51468","7.66","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","140.47355","163.01931","147.68068","","",""
"STD BLK","空白","2018/11/23 13:10:15","Mn 259.372","Mn(ref)","","0.00","0.00","ppm","62.09","-","-","4.00","6.45","-","-","-","-","","","","","","","3","0.00","0.00","0.00","58.88","66.58","60.83","","",""
"STD BLK","空白","2018/11/23 13:10:15","Mn 260.568","Mn(ref)","","0.00","0.00","ppm","21.03","-","-","4.09","19.44","-","-","-","-","","","","","","","3","0.00","0.00","0.00","25.69","19.32","18.07","","",""
